Province,Year,Investment Value,Category
Prince Edward Island,2023,105.3,Utilities
Prince Edward Island,2024,133.2,Utilities
Prince Edward Island,2025,160.7,Utilities
Prince Edward Island,2026,163,Utilities
Quebec,2022,"5,471.80",Utilities
Quebec,2023,6817.6999999999998,Utilities
Quebec,2024,8251.7000000000007,Utilities
Quebec,2025,8960.3999999999996,Utilities
Quebec,2026,10944.200000000001,Utilities
Saskatchewan,2022,"1,483.30",Utilities
Saskatchewan,2023,"1,707.40",Utilities
Saskatchewan,2024,"2,081.60",Utilities
Saskatchewan,2025,2316,Utilities
Saskatchewan,2026,2473.5999999999999,Utilities
Yukon,2022,x,Utilities
Yukon,2023,84.1,Utilities
Yukon,2024,81.5,Utilities
Yukon,2025,84.7,Utilities
Yukon,2026,115.7,Utilities
Alberta,2022,"1,641.60",Construction
Alberta,2023,"2,549.00",Construction
Alberta,2024,2985.8000000000002,Construction
Alberta,2025,"3,719.20",Construction
Alberta,2026,3840.8000000000002,Construction
British Columbia,2022,1698.4000000000001,Construction
British Columbia,2023,"2,577.40",Construction
British Columbia,2024,2749.1999999999998,Construction
British Columbia,2025,3041.4000000000001,Construction
British Columbia,2026,3140.9000000000001,Construction
Manitoba,2022,363.39999999999998,Construction
Manitoba,2023,424.2,Construction
Manitoba,2024,482.6,Construction
Manitoba,2025,534.5,Construction
Manitoba,2026,552,Construction
New Brunswick,2022,242.9,Construction
New Brunswick,2023,264.6,Construction
New Brunswick,2024,354.8,Construction
New Brunswick,2025,392.89999999999998,Construction
New Brunswick,2026,405.80000000000001,Construction
Newfoundland and Labrador,2022,87.9,Construction
Newfoundland and Labrador,2023,110.2,Construction
Newfoundland and Labrador,2024,120,Construction
Newfoundland and Labrador,2025,133,Construction
Newfoundland and Labrador,2026,137.3,Construction
Northwest Territories,2022,19.8,Construction
Northwest Territories,2023,23.6,Construction
Northwest Territories,2024,23.6,Construction
Northwest Territories,2025,26.1,Construction
Northwest Territories,2026,27,Construction
Nova Scotia,2022,352.5,Construction
Nova Scotia,2023,437.5,Construction
Nova Scotia,2024,544.9,Construction
Nova Scotia,2025,603.5,Construction
Nova Scotia,2026,623.29999999999995,Construction
Nunavut,2022,2,Construction
Nunavut,2023,5.9,Construction
Nunavut,2024,17.3,Construction
Nunavut,2025,19.2,Construction
Nunavut,2026,19.8,Construction
Ontario,2022,3366.8000000000002,Construction
Ontario,2023,5643.1000000000004,Construction
Ontario,2024,5463.1999999999998,Construction
Ontario,2025,6042.6999999999998,Construction
Ontario,2026,6240.3000000000002,Construction
Prince Edward Island,2022,52.8,Construction
Prince Edward Island,2023,75.2,Construction
Prince Edward Island,2024,86.5,Construction
Prince Edward Island,2025,95.8,Construction
Prince Edward Island,2026,99,Construction
Quebec,2022,"2,457.50",Construction
Quebec,2023,3109.5,Construction
Quebec,2024,3173.5,Construction
Quebec,2025,3513.8000000000002,Construction
Quebec,2026,3628.5999999999999,Construction
Saskatchewan,2022,248.5,Construction
Saskatchewan,2023,449.8,Construction
Saskatchewan,2024,395.9,Construction
Saskatchewan,2025,438.39999999999998,Construction
Saskatchewan,2026,452.80000000000001,Construction
Yukon,2022,42.9,Construction
Yukon,2023,30.1,Construction
Yukon,2024,43.7,Construction
Yukon,2025,48.4,Construction
Yukon,2026,50,Construction
Alberta,2022,"3,884.50",Manufacturing
Alberta,2023,"3,372.30",Manufacturing
Alberta,2024,5555.3000000000002,Manufacturing
Alberta,2025,"4,760.70",Manufacturing
Alberta,2026,5253.6000000000004,Manufacturing
British Columbia,2022,2124.5999999999999,Manufacturing
British Columbia,2023,x,Manufacturing
British Columbia,2024,2092,Manufacturing
British Columbia,2025,1713.9000000000001,Manufacturing
British Columbia,2026,1924.3,Manufacturing
Manitoba,2022,686.60000000000002,Manufacturing
Manitoba,2023,636.3,Manufacturing
Manitoba,2024,886.6,Manufacturing
Manitoba,2025,831.79999999999995,Manufacturing
Manitoba,2026,784.89999999999998,Manufacturing
New Brunswick,2022,748.9,Manufacturing
New Brunswick,2023,897.5,Manufacturing
New Brunswick,2024,964.1,Manufacturing
New Brunswick,2025,1316.9000000000001,Manufacturing
New Brunswick,2026,1401.9000000000001,Manufacturing
Newfoundland and Labrador,2022,x,Manufacturing
Newfoundland and Labrador,2023,463.2,Manufacturing
Newfoundland and Labrador,2024,142.1,Manufacturing
Newfoundland and Labrador,2025,175.7,Manufacturing
Newfoundland and Labrador,2026,142.5,Manufacturing
Northwest Territories,2022,x,Manufacturing
Northwest Territories,2023,x,Manufacturing
Northwest Territories,2024,x,Manufacturing
Northwest Territories,2025,x,Manufacturing
Northwest Territories,2026,0.3,Manufacturing
Nova Scotia,2022,398.1,Manufacturing
Nova Scotia,2023,434,Manufacturing
Nova Scotia,2024,451.9,Manufacturing
Nova Scotia,2025,480.1,Manufacturing
Nova Scotia,2026,512.20000000000005,Manufacturing
Nunavut,2022,x,Manufacturing
Nunavut,2023,x,Manufacturing
Nunavut,2024,x,Manufacturing
Nunavut,2025,x,Manufacturing
Nunavut,2026,12.1,Manufacturing
Ontario,2022,10952.1,Manufacturing
Ontario,2023,11782.9,Manufacturing
Ontario,2024,14608.299999999999,Manufacturing
Ontario,2025,15442,Manufacturing
Ontario,2026,15139.700000000001,Manufacturing
Prince Edward Island,2022,x,Manufacturing
Prince Edward Island,2023,104.5,Manufacturing
Prince Edward Island,2024,126.4,Manufacturing
Prince Edward Island,2025,154.3,Manufacturing
Prince Edward Island,2026,138.4,Manufacturing
Quebec,2022,"6,525.90",Manufacturing
Quebec,2023,7656.3999999999996,Manufacturing
Quebec,2024,9110.8999999999996,Manufacturing
Quebec,2025,8106.3000000000002,Manufacturing
Quebec,2026,7401.3999999999996,Manufacturing
Saskatchewan,2022,761,Manufacturing
Saskatchewan,2023,985.9,Manufacturing
Saskatchewan,2024,995.2,Manufacturing
Saskatchewan,2025,1027.4000000000001,Manufacturing
Saskatchewan,2026,1215,Manufacturing
Yukon,2022,x,Manufacturing
Yukon,2023,x,Manufacturing
Yukon,2024,x,Manufacturing
Yukon,2025,x,Manufacturing
Yukon,2026,1.1,Manufacturing
Alberta,2022,907.3,Wholesale trade
Alberta,2023,x,Wholesale trade
Alberta,2024,965.29999999999995,Wholesale trade
Alberta,2025,755.8,Wholesale trade
Alberta,2026,869,Wholesale trade
British Columbia,2022,659,Wholesale trade
British Columbia,2023,740.2,Wholesale trade
British Columbia,2024,718,Wholesale trade
British Columbia,2025,604,Wholesale trade
British Columbia,2026,647.79999999999995,Wholesale trade
Manitoba,2022,257.69999999999999,Wholesale trade
Manitoba,2023,250.8,Wholesale trade
Manitoba,2024,227.8,Wholesale trade
Manitoba,2025,204.69999999999999,Wholesale trade
Manitoba,2026,162.19999999999999,Wholesale trade
New Brunswick,2022,93.9,Wholesale trade
New Brunswick,2023,92.6,Wholesale trade
New Brunswick,2024,102.7,Wholesale trade
New Brunswick,2025,102.2,Wholesale trade
New Brunswick,2026,132.5,Wholesale trade
Newfoundland and Labrador,2022,x,Wholesale trade
Newfoundland and Labrador,2023,49.4,Wholesale trade
Newfoundland and Labrador,2024,74.9,Wholesale trade
Newfoundland and Labrador,2025,68.5,Wholesale trade
Newfoundland and Labrador,2026,100.7,Wholesale trade
Northwest Territories,2022,3.7,Wholesale trade
Northwest Territories,2023,x,Wholesale trade
Northwest Territories,2024,x,Wholesale trade
Northwest Territories,2025,1.6,Wholesale trade
